path,category,include_in_graph,reason,canonical_parent,phase,product,evidence_level,sensitive,notes
.graphifyignore,CANONICAL_SOURCE,FALSE,"Graphify input policy, not a content source",,PA4,project,configuration,false,"Excludes caches and duplicate archives only"
PA4-LKDuy-2026-Public.pdf,CANONICAL_SOURCE,TRUE,"Official PA4 brief and requirements",,PA4,project,official_requirement,false,"PDF support verified with pypdf"
README.md,CANONICAL_SOURCE,TRUE,"PA4 operating instructions and external gates",,PA4,project,current_state,false,
demo/DEMO-SCRIPT.md,CANONICAL_SOURCE,TRUE,"Presenter flow and demo route",,PA4,both,current_plan,false,
evidence/pa3-pa4-traceability.csv,CANONICAL_SOURCE,TRUE,"Machine-readable continuity and validation map",,PA4,both,traceability,false,
evidence/prototype-screenshots/chess-desktop-better-move.png,DERIVED_EVIDENCE,TRUE,"Browser QA screenshot",prototype/app.js,PA4,chess,qa,false,
evidence/prototype-screenshots/chess-desktop-completion.png,DERIVED_EVIDENCE,TRUE,"Browser QA screenshot",prototype/app.js,PA4,chess,qa,false,
evidence/prototype-screenshots/chess-desktop-mistake.png,DERIVED_EVIDENCE,TRUE,"Browser QA screenshot",prototype/app.js,PA4,chess,qa,false,
evidence/prototype-screenshots/chess-desktop-practice.png,DERIVED_EVIDENCE,TRUE,"Browser QA screenshot",prototype/app.js,PA4,chess,qa,false,
evidence/prototype-screenshots/chess-desktop-review-intro.png,DERIVED_EVIDENCE,TRUE,"Browser QA screenshot",prototype/app.js,PA4,chess,qa,false,
evidence/prototype-screenshots/chess-desktop-trial.png,DERIVED_EVIDENCE,TRUE,"Browser QA screenshot",prototype/app.js,PA4,chess,qa,false,
evidence/prototype-screenshots/chess-mobile-practice.png,DERIVED_EVIDENCE,TRUE,"Responsive browser QA screenshot",prototype/app.js,PA4,chess,qa,false,
evidence/prototype-screenshots/chess-mobile-review.png,DERIVED_EVIDENCE,TRUE,"Responsive browser QA screenshot",prototype/app.js,PA4,chess,qa,false,
evidence/prototype-screenshots/chess-study-intro.png,DERIVED_EVIDENCE,TRUE,"Study-mode browser QA screenshot",prototype/app.js,PA4,chess,qa,false,
evidence/prototype-screenshots/fifa-desktop-handoff.png,DERIVED_EVIDENCE,TRUE,"Browser QA screenshot",prototype/app.js,PA4,fifa,qa,false,
