figure_id,product,local_path,visible_page_or_state,supported_claims,unsupported_claims,related_persona,related_task,related_drawback,report_usage,caption
F2-E01,FIFA,capture-work\fifa\desktop\fifa-01-homepage-desktop.png,"Full homepage with global header, tournament circles, stacked sections, footer, and a promotional modal over first-view content.",Promotional interruption; broad hierarchy; task-entry competition.,Clean default homepage; cookie banner; distinct navigation-open state.,F-P1; F-P2,FR-T1; FR-T2,F-D1; F-D5,UserResearch; UserAnalysis,"FIFA.com homepage showing a promotional modal over the first-view content and a long hierarchy of tournament, match, story, ranking, and ecosystem sections."
F2-E02,FIFA,capture-work\fifa\mobile\fifa-04-homepage-mobile.png,"Long mobile homepage with compact header, stacked content, ranking content, and footer.",Mobile density; long vertical scanning; compact navigation.,Open mobile menu.,F-P1,FR-T1; FR-T2,F-D1; F-D5,UserResearch evidence appendix; traceability source,Mobile FIFA.com homepage showing compact navigation and a long vertically stacked information surface.
F2-E03,FIFA,capture-work\fifa\desktop\fifa-06-match-centre.png,"Match Centre with gender control, date rail, search, live toggle, date, sort and filter controls, match rows, tables, and latest results.",Date-based mental model; visible match status; multiple narrowing controls; long scanning surface.,A measured completion time or participant difficulty.,F-P1; F-P2,FR-T1,F-D5,UserResearch evidence appendix; traceability source,"Match Centre showing date-based navigation, filtering controls, grouped match rows, standings, and latest results."
F2-E04,FIFA,capture-work\fifa\desktop\fifa-10-match-centre-filters.png,Match Centre dimmed behind an open A-to-Z Competitions filter drawer.,Filter structure; added scan and selection work; panel-to-results relationship.,A selected competition result.,F-P1; F-P2,FR-T1,F-D5,UserResearch evidence appendix; traceability source,Match Centre with the A-to-Z Competitions filter drawer open over the results surface.
F2-E05,FIFA,capture-work\fifa\desktop\fifa-11-search-page.png,"Search results for world cup with content-type and date filters, mixed article cards, sorting, and pagination.",Mixed-content search; comparison among result types; filtering and pagination.,User success rate or search relevance quality.,F-P3,FR-T2,F-D5,UserResearch evidence appendix; traceability source,"FIFA search page showing a world cup query, result filters, mixed article cards, sorting, and pagination."
F2-E06,FIFA,capture-work\fifa\desktop\fifa-13-news-article-full.png,"Ticketing media-release page with header, hero, article content, a large sparse body interval, related content, and footer.",Article structure; utility action is not persistently visible; captured body includes a long sparse interval.,Universal production loading defect; full body-content assessment.,F-P2; F-P3,FR-T2; FR-T3,F-D5,UserResearch evidence appendix; traceability source,Ticketing media-release page showing its article structure and a long sparse interval before later content and related links.
F2-E07,FIFA,capture-work\fifa\desktop\fifa-16-tournament-landing.png,Tournament landing page covered by a registration-interest modal.,Modal interruption; obscured browsing context.,Dismissed modal.,F-P2,FR-T2,F-D5,UserResearch evidence appendix; traceability source,Tournament landing page showing a registration-interest modal obscuring the underlying page.
F2-E08,FIFA,capture-work\fifa\desktop\fifa-19-rankings.png,"Men's World Ranking page with ranking cards, table, explanation, media, related articles, and footer.",Dedicated official ranking content; separation of reading and utility navigation.,Participant comprehension or ranking accuracy.,F-P2; F-P3,FR-T2,F-D5,UserResearch evidence appendix; traceability source,"FIFA men's ranking page showing ranking status, table, explanatory content, media, and related articles."
F2-E09,FIFA,capture-work\fifa\desktop\fifa-20-tickets-hospitality-landing.png,"Tickets and Hospitality landing page with tournament logos, ticket and hospitality cards, mixed register-interest and buy-now labels, other tournaments, news, and footer.",Tournament-based ticket entry; card destinations; no consolidated cross-tournament status dashboard.,Seat map; waiting room; resale dashboard; verified partner redirect.,F-P3,FR-T3,F-D4,UserResearch evidence appendix; traceability source,"Tickets and Hospitality landing page showing tournament-based entry cards; the captured state has no consolidated sale phase, seat availability, resale, waiting-room, or last-updated dashboard."
F2-E10,FIFA,capture-work\fifa\desktop\fifa-34-fifa-plus-entry.png,FIFA-branded page with assistant-referee flag image and an error or unavailable-state message.,Captured entry route does not expose watch content; possible continuity loss in this state.,Every FIFA+ session fails.,F-P3,FR-T4,F-D2,UserResearch evidence appendix; traceability source,FIFA-branded entry route showing an assistant-referee flag and a message that normal watch content is unavailable in the captured state.
F2-E11,FIFA,capture-work\fifa\desktop\fifa-35-fifa-plus-dazn-landing.png,"Dark DAZN-hosted FIFA+ page with FIFA+ hero, sign-in controls, navigation, event cards, and media rails.",Brand and account boundary; different IA; dense watch rails; need for handoff feedforward.,A tested trust failure or universal confusion.,F-P3,FR-T4,F-D2; F-D3,UserResearch evidence appendix; traceability source,"DAZN-hosted FIFA+ landing page showing a distinct brand, account controls, task navigation, and multiple media rails."
F2-E12,FIFA,capture-work\fifa\desktop\fifa-36-fifa-plus-cookie-before-dismiss.png,DAZN-hosted FIFA+ landing page darkened by a cookie-preferences panel.,Consent handling adds a step before content access.,A distinct rail state.,F-P3,FR-T4,F-D2; F-D3,UserResearch evidence appendix; traceability source,FIFA+ landing page shown in a consent-obstructed state before cookie preference handling.
F2-E13,FIFA,capture-work\fifa\desktop\fifa-37-fifa-plus-after-cookie-dismiss.png,"Unobstructed upper portion of the FIFA+ landing page with hero, category controls, and event cards.","Normal landing layout; hero, categories, and media entry.",Seven distinct rail states.,F-P3,FR-T4,F-D2; F-D3,UserResearch evidence appendix; traceability source,"Unobstructed FIFA+ landing page showing the hero, task categories, and event-card entry surface."
F2-E14,FIFA,capture-work\fifa\desktop\fifa-46-store-page.png,"Bright retail page with store-specific header, merchandising hero, product grids, category tiles, and retail footer.",Cross-property visual and task-model change; retail navigation differs from information navigation.,Ticket availability or FIFA.com navigation continuity.,F-P1; F-P3,FR-T4,F-D1,UserResearch evidence appendix; traceability source,"FIFA Store page showing a retail-specific header, merchandising hierarchy, product grids, and footer."
F2-E15,FIFA,capture-work\fifa\desktop\fifa-47-collect-page.png,"Dark FIFA Collect marketplace with subscription prompt, collectibles, clubs, prices, filters, and marketplace language.",Cross-property mental-model change; separate transaction vocabulary and structure.,Conventional merchandise shopping flow.,F-P3,FR-T4,F-D1,UserResearch evidence appendix; traceability source,"FIFA Collect page showing subscription, digital-collectible, club, marketplace, price, and challenge structures."
F2-E16,FIFA,capture-work\fifa\desktop\fifa-48-rewards-page.png,"Black FIFA Rewards page with Join Now, tier cards, FAQs, and FIFA footer.",Distinct sibling-property identity; account-oriented reward task.,A completed sign-up or reward redemption.,F-P3,FR-T4,F-D1,UserResearch evidence appendix; traceability source,"FIFA Rewards page showing account entry, tier cards, FAQs, and a distinct black-and-gold visual identity."
